cmun_id,cmun_cedoid,cmun_edoname,cmun_mpioid,cmun_mpioname,cmun_cabeceraid,cmun_cabeceraname
1,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes
2,1,Aguascalientes,2,Asientos,1,Asientos
3,1,Aguascalientes,3,Calvillo,1,Calvillo
4,1,Aguascalientes,4,Cosío,1,Cosío
5,1,Aguascalientes,5,Jesús María,1,Jesús María
6,1,Aguascalientes,6,Pabellón de Arteaga,1,Pabellón de Arteaga
7,1,Aguascalientes,7,Rincón de Romos,1,Rincón de Romos
8,1,Aguascalientes,8,San José de Gracia,1,San José de Gracia
9,1,Aguascalientes,9,Tepezalá,1,Tepezalá
10,1,Aguascalientes,10,El Llano,1,Palo Alto
11,1,Aguascalientes,11,San Francisco de los Romo,1,San Francisco de los Romo
12,2,Baja California,1,Ensenada,1,Ensenada
13,2,Baja California,2,Mexicali,1,Mexicali
14,2,Baja California,3,Tecate,1,Tecate
15,2,Baja California,4,Tijuana,1,Tijuana
16,2,Baja California,5,Playas de Rosarito,1,Playas de Rosarito
17,2,Baja California,6,San Quintín,1,San Quintín
18,2,Baja California,7,San Felipe,1,San Felipe
19,3,Baja California Sur,1,Comondú,1,Ciudad Constitución
20,3,Baja California Sur,2,Mulegé,1,Santa Rosalía
21,3,Baja California Sur,3,La Paz,1,La Paz
22,3,Baja California Sur,8,Los Cabos,1,San José del Cabo
23,3,Baja California Sur,9,Loreto,1,Loreto
24,4,Campeche,1,Calkiní,1,Calkiní
25,4,Campeche,2,Campeche,1,San Francisco de Campeche
26,4,Campeche,3,Carmen,1,Ciudad del Carmen
27,4,Campeche,4,Champotón,1,Champotón
28,4,Campeche,5,Hecelchakán,1,Hecelchakán
29,4,Campeche,6,Hopelchén,1,Hopelchén
30,4,Campeche,7,Palizada,1,Palizada
31,4,Campeche,8,Tenabo,1,Tenabo
32,4,Campeche,9,Escárcega,1,Escárcega
33,4,Campeche,10,Calakmul,1,Xpujil
34,4,Campeche,11,Candelaria,1,Candelaria
35,4,Campeche,12,Seybaplaya,1,Seybaplaya
36,4,Campeche,13,Dzitbalché,1,Dzitbalché
37,5,Coahuila de Zaragoza,1,Abasolo,1,Abasolo
38,5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña
39,5,Coahuila de Zaragoza,3,Allende,1,Allende
40,5,Coahuila de Zaragoza,4,Arteaga,1,Arteaga
41,5,Coahuila de Zaragoza,5,Candela,1,Candela
42,5,Coahuila de Zaragoza,6,Castaños,1,Castaños
43,5,Coahuila de Zaragoza,7,Cuatro Ciénegas,1,Cuatro Ciénegas de Carranza
44,5,Coahuila de Zaragoza,8,Escobedo,1,Escobedo
45,5,Coahuila de Zaragoza,9,Francisco I. Madero,1,Francisco I. Madero  
46,5,Coahuila de Zaragoza,10,Frontera,1,Frontera
47,5,Coahuila de Zaragoza,11,General Cepeda,1,General Cepeda
48,5,Coahuila de Zaragoza,12,Guerrero,1,Guerrero
49,5,Coahuila de Zaragoza,13,Hidalgo,1,Hidalgo
50,5,Coahuila de Zaragoza,14,Jiménez,1,Jiménez
51,5,Coahuila de Zaragoza,15,Juárez,1,Juárez
52,5,Coahuila de Zaragoza,16,Lamadrid,1,Lamadrid
53,5,Coahuila de Zaragoza,17,Matamoros,1,Matamoros
54,5,Coahuila de Zaragoza,18,Monclova,1,Monclova
55,5,Coahuila de Zaragoza,19,Morelos,1,Morelos
56,5,Coahuila de Zaragoza,20,Múzquiz,1,Ciudad Melchor Múzquiz
57,5,Coahuila de Zaragoza,21,Nadadores,1,Nadadores
58,5,Coahuila de Zaragoza,22,Nava,1,Nava
59,5,Coahuila de Zaragoza,23,Ocampo,1,Ocampo
60,5,Coahuila de Zaragoza,24,Parras,1,Parras de la Fuente
61,5,Coahuila de Zaragoza,25,Piedras Negras,1,Piedras Negras
62,5,Coahuila de Zaragoza,26,Progreso,1,Progreso
63,5,Coahuila de Zaragoza,27,Ramos Arizpe,1,Ramos Arizpe
64,5,Coahuila de Zaragoza,28,Sabinas,1,Sabinas
65,5,Coahuila de Zaragoza,29,Sacramento,1,Sacramento
66,5,Coahuila de Zaragoza,30,Saltillo,1,Saltillo
67,5,Coahuila de Zaragoza,31,San Buenaventura,1,San Buenaventura
68,5,Coahuila de Zaragoza,32,San Juan de Sabinas,14,Nueva Rosita
69,5,Coahuila de Zaragoza,33,San Pedro,1,San Pedro
70,5,Coahuila de Zaragoza,34,Sierra Mojada,1,Sierra Mojada
71,5,Coahuila de Zaragoza,35,Torreón,1,Torreón
72,5,Coahuila de Zaragoza,36,Viesca,1,Viesca
73,5,Coahuila de Zaragoza,37,Villa Unión,1,Villa Unión
74,5,Coahuila de Zaragoza,38,Zaragoza,1,Zaragoza
75,6,Colima,1,Armería,1,Ciudad de Armería
76,6,Colima,2,Colima,1,Colima
77,6,Colima,3,Comala,1,Comala
78,6,Colima,4,Coquimatlán,1,Coquimatlán
79,6,Colima,5,Cuauhtémoc,1,Cuauhtémoc
80,6,Colima,6,Ixtlahuacán,1,Ixtlahuacán
81,6,Colima,7,Manzanillo,1,Manzanillo
82,6,Colima,8,Minatitlán,1,Minatitlán
83,6,Colima,9,Tecomán,1,Tecomán
84,6,Colima,10,Villa de Álvarez,1,Ciudad de Villa de Álvarez
85,7,Chiapas,1,Acacoyagua,1,Acacoyagua
86,7,Chiapas,2,Acala,1,Acala
87,7,Chiapas,3,Acapetahua,1,Acapetahua
88,7,Chiapas,4,Altamirano,1,Altamirano
89,7,Chiapas,5,Amatán,1,Amatán
90,7,Chiapas,6,Amatenango de la Frontera,1,Amatenango de la Frontera
91,7,Chiapas,7,Amatenango del Valle,1,Amatenango del Valle
92,7,Chiapas,8,Ángel Albino Corzo,1,Jaltenango de la Paz (Ángel Albino Corzo)
93,7,Chiapas,9,Arriaga,1,Arriaga
94,7,Chiapas,10,Bejucal de Ocampo,1,Bejucal de Ocampo
95,7,Chiapas,11,Bella Vista,1,Bella Vista
96,7,Chiapas,12,Berriozábal,1,Berriozábal
97,7,Chiapas,13,Bochil,1,Bochil
98,7,Chiapas,14,El Bosque,1,El Bosque
99,7,Chiapas,15,Cacahoatán,1,Cacahoatán
100,7,Chiapas,16,Catazajá,1,Catazajá
101,7,Chiapas,17,Cintalapa de Figueroa,1,Cintalapa de Figueroa
102,7,Chiapas,18,Coapilla,1,Coapilla
103,7,Chiapas,19,Comitán de Domínguez,1,Comitán de Domínguez
104,7,Chiapas,20,La Concordia,1,La Concordia
105,7,Chiapas,21,Copainalá,1,Copainalá
106,7,Chiapas,22,Chalchihuitán,1,Chalchihuitán
107,7,Chiapas,23,Chamula,1,Chamula
108,7,Chiapas,24,Chanal,1,Chanal
109,7,Chiapas,25,Chapultenango,1,Chapultenango
110,7,Chiapas,26,Chenalhó,1,Chenalhó
111,7,Chiapas,27,Chiapa de Corzo,1,Chiapa de Corzo
112,7,Chiapas,28,Chiapilla,1,Chiapilla
113,7,Chiapas,29,Chicoasén,1,Chicoasén
114,7,Chiapas,30,Chicomuselo,1,Chicomuselo
115,7,Chiapas,31,Chilón,1,Chilón
116,7,Chiapas,32,Escuintla,1,Escuintla
117,7,Chiapas,33,Francisco León,42,Rivera el Viejo Carmen
118,7,Chiapas,34,Frontera Comalapa,1,Frontera Comalapa
119,7,Chiapas,35,Frontera Hidalgo,1,Frontera Hidalgo
120,7,Chiapas,36,La Grandeza,1,La Grandeza
121,7,Chiapas,37,Huehuetán,1,Huehuetán
122,7,Chiapas,38,Huixtán,1,Huixtán
123,7,Chiapas,39,Huitiupán,1,Huitiupán
124,7,Chiapas,40,Huixtla,1,Huixtla
125,7,Chiapas,41,La Independencia,1,La Independencia
126,7,Chiapas,42,Ixhuatán,1,Ixhuatán
127,7,Chiapas,43,Ixtacomitán,1,Ixtacomitán
128,7,Chiapas,44,Ixtapa,1,Ixtapa
129,7,Chiapas,45,Ixtapangajoya,1,Ixtapangajoya
130,7,Chiapas,46,Jiquipilas,1,Jiquipilas
131,7,Chiapas,47,Jitotol,1,Jitotol
132,7,Chiapas,48,Juárez,1,Juárez
133,7,Chiapas,49,Larráinzar,1,Larráinzar
134,7,Chiapas,50,La Libertad,1,La Libertad
135,7,Chiapas,51,Mapastepec,1,Mapastepec
136,7,Chiapas,52,Las Margaritas,1,Las Margaritas
137,7,Chiapas,53,Mazapa de Madero,1,Mazapa de Madero
138,7,Chiapas,54,Mazatán,1,Mazatán
139,7,Chiapas,55,Metapa,1,Metapa de Domínguez
140,7,Chiapas,56,Mitontic,1,Mitontic
141,7,Chiapas,57,Motozintla,1,Motozintla de Mendoza
142,7,Chiapas,58,Nicolás Ruíz,1,Nicolás Ruíz
143,7,Chiapas,59,Ocosingo,1,Ocosingo
144,7,Chiapas,60,Ocotepec,1,Ocotepec
145,7,Chiapas,61,Ocozocoautla de Espinosa,1,Ocozocoautla de Espinosa
146,7,Chiapas,62,Ostuacán,1,Ostuacán
147,7,Chiapas,63,Osumacinta,1,Osumacinta
148,7,Chiapas,64,Oxchuc,1,Oxchuc
149,7,Chiapas,65,Palenque,1,Palenque
150,7,Chiapas,66,Pantelhó,1,Pantelhó
151,7,Chiapas,67,Pantepec,1,Pantepec
152,7,Chiapas,68,Pichucalco,1,Pichucalco
153,7,Chiapas,69,Pijijiapan,1,Pijijiapan
154,7,Chiapas,70,El Porvenir,1,El Porvenir de Velasco Suárez
155,7,Chiapas,71,Villa Comaltitlán,1,Villa Comaltitlán
156,7,Chiapas,72,Pueblo Nuevo Solistahuacán,1,Pueblo Nuevo Solistahuacán
157,7,Chiapas,73,Rayón,1,Rayón
158,7,Chiapas,74,Reforma,1,Reforma
159,7,Chiapas,75,Las Rosas,1,Las Rosas
160,7,Chiapas,76,Sabanilla,1,Sabanilla
161,7,Chiapas,77,Salto de Agua,1,Salto de Agua
162,7,Chiapas,78,San Cristóbal de las Casas,1,San Cristóbal de las Casas
163,7,Chiapas,79,San Fernando,1,San Fernando
164,7,Chiapas,80,Siltepec,1,Siltepec
165,7,Chiapas,81,Simojovel,1,Simojovel de Allende
166,7,Chiapas,82,Sitalá,1,Sitalá
167,7,Chiapas,83,Socoltenango,1,Socoltenango
168,7,Chiapas,84,Solosuchiapa,1,Solosuchiapa
169,7,Chiapas,85,Soyaló,1,Soyaló
170,7,Chiapas,86,Suchiapa,1,Suchiapa
171,7,Chiapas,87,Suchiate,1,Ciudad Hidalgo
172,7,Chiapas,88,Sunuapa,1,Sunuapa
173,7,Chiapas,89,Tapachula,1,Tapachula de Córdova y Ordóñez
174,7,Chiapas,90,Tapalapa,1,Tapalapa
175,7,Chiapas,91,Tapilula,1,Tapilula
176,7,Chiapas,92,Tecpatán,1,Tecpatán
177,7,Chiapas,93,Tenejapa,1,Tenejapa
178,7,Chiapas,94,Teopisca,1,Teopisca
179,7,Chiapas,96,Tila,1,Tila
180,7,Chiapas,97,Tonalá,1,Tonalá
181,7,Chiapas,98,Totolapa,1,Totolapa
182,7,Chiapas,99,La Trinitaria,1,La Trinitaria
183,7,Chiapas,100,Tumbalá,1,Tumbalá
184,7,Chiapas,101,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez
