'cl_id4','cl_nombre_campo','cl_dato'
1,'Todos','Null'
2,'clima_Zona','Cálido'
3,'clima_Zona','Calido humedo'
4,'clima_Zona','Frío'
5,'clima_Zona','Frío Secó'
6,'clima_Zona','Templado'
7,'clima_Zona','Templado humedo'
8,'Textura','Arcillosa'
9,'Textura','Arcilloso-limoso'
10,'Textura','Arcilloso-arenoso'
11,'Textura','Arenoso'
12,'Textura','Arenoso-arcilloso'
13,'Textura','Arenoso-Yeso'
14,'Textura','Arenoso-pedregoso'
15,'Textura','Limoso'
17,'Textura','Limoso-arcilloso'
18,'Textura','Limoso con mucha materia organica'
19,'Textura','Limoso-yesoso'
20,'Textura','Materia Organica'
21,'Textura','Tepetate'
22,'Textura','Yeso con materia organica'
23,'Color','Amarillo'
24,'Color','Amarillo claro'
25,'Color','Blanco'
26,'Color','Blanco-amarillo'
27,'Color','Blanco café'
28,'Color','Café'
29,'Color','Café amarillo'
30,'Color','Café claro'
31,'Color','Café oscuro '
32,'Color','Café rojiza'
33,'Color','Café rojiza oscuro'
34,'Color','Crema'
35,'Color','Gris'
36,'Color','Gris café'
37,'Color','Gris oscuro'
38,'Color','Naranja Claro'
39,'Color','Negro rojizo'
40,'Vegetacion_Zona','Bosque de cactus-matorral'
41,'Vegetacion_Zona','Bosque de encino'
42,'Vegetacion_Zona','Bosque de pino'
43,'Vegetacion_Zona','Bosque de pino enano'
44,'Vegetacion_Zona','Bosque mesófilo'
45,'Vegetacion_Zona','Bosque mesófilo de montaña'
46,'Vegetacion_Zona','Bosque tropical caducifolio con matorral xerófilo'
47,'Vegetacion_Zona','Huerto'
48,'Vegetacion_Zona','Matorral xerófilo'
49,'Vegetacion_Zona','Selva alta caducifolio'
50,'Vegetacion_Zona','Selva alta perennifolia'
51,'Vegetacion_Zona','Selva mediana caducifolia'
52,'Vegetacion_Zona','Selva mediana perennifolia'
53,'Vegetacion_Zona','Selva mediana subperennifolia'
54,'Vegetacion_Zona','Vegetacion de huerta'
55,'Vegetacion_Zona','Vegetacion secundaria'
56,'Vegetacion_Zona','Zona de cultivos'
57,'Vegetacion_Zona','Zona urbana'
58,'Ciclo_Vida','Anual'
59,'Ciclo_Vida','Anual-perenne'
60,'Ciclo_Vida','Caducifolio'
61,'Ciclo_Vida','Perenne'
62,'Ciclo_Vida','Perenne estacional'
63,'Ciclo_Vida','Vegetativo'
64,'Tipo_Raiz','Delgados y fragiles.'
65,'Tipo_Raiz','Inclinada.'
66,'Vegetacion_Zona','Lateral.'
67,'Tipo_Raiz','Lateral-pivotante.'
68,'Tipo_Raiz','Pivotante.'
69,'Vegetacion_Zona','Pivotante y lateral.'
70,'Tipo_Raiz','Pivotante-Lateral.'
71,'Tipo_Raiz','Suculenta.'
72,'Conformacion_cepellon','Bien formado'
73,'Conformacion_cepellon','Parcialmente Formado'
74,'Conformacion_cepellon','Cepellón artificial'
75,'Conformacion_cepellon','Raíz desnuda'
76,'Tipo_Raiz','Lateral.'
77,'Forma_Colecta','Estaca'
78,'Forma_Colecta','Artejo'
79,'Forma_Colecta','Geófito'
80,'Forma_Colecta','Ejemplar completo'
81,'Ciclo_Vida','Bianual'
82,'Estado_Fenologico','Veg'
83,'Estado_Fenologico','Flo'
84,'Estado_Fenologico','Fru'
85,'Estado_Fenologico','RVe'
86,'Estado_Fenologico','Lat'
88,'Forma_Biologica','Arb'
89,'Forma_Biologica','Abt'
90,'Forma_Biologica','Ast'
91,'Forma_Biologica','Bej'
92,'Forma_Biologica','Enr'
93,'Forma_Biologica ','Epi'
94,'Forma_Biologica','Her'
95,'Forma_Biologica','Suc'
96,'Abundancia_Zona','Mab'
97,'Abundancia_Zona','Abu'
98,'Abundancia_Zona','Mod'
99,'Abundancia_Zona','Esc'
100,'Pedregosidad','Nul'
101,'Pedregosidad','Mod'
102,'Pedregosidad','Abu'
103,'Pedregosidad','Ext'
104,'Iluminacion','Expuesto Total'
105,'Iluminacion','Sombra Parcial'
106,'Iluminacion','Sombra Total'
107,'Vegetacion_Zona','Selva baja caducifolia'
108,'Vegetacion_Zona','Bosque de pino-Encino'
110,'Forma_Biologica','Epífita'
111,'Forma_Biologica','Arbusto-suculenta'
112,'Estado_Fenologico','Floración y Fructificación'
113,'Vegetacion_Zona','Selva húmeda'
