"cl_IdColectas","cl_Numero_Clavo","cl_Letra","cl_Comentarios","cl_Recolector","cl_Fecha","cl_Datos_Etnobotanicos","cl_Plantas_idPlantas","cl_Nombre_Comun","cl_Genero","cl_Especie","cl_Familia","cl_protegida","cl_Numero_salida","cl_Caracteristica_Raiz","cl_Altura_planta","cl_DAP","cl_Diametro_Tronco","cl_Diametro_Raiz","cl_Cobertura","cl_Diametro_cepellon","cl_Altura_cepellon","cl_Estado","cl_Forma_Biologica","cl_Conformacion_cepellon","cl_Estado_Fenologico","cl_Ciclo_Vida","cl_Comentarios_de_registro","cl_Tipo_raiz","cl_Forma_Colecta","cl_Revision","cl_Link","cl_Usuarios_idUsuarios","cl_username","cl_active"
2,154,C,"","","1997-07-01","",223,Maguey bacuela ,Agave,guiengola,AGAVACEAE,,,,,,,,,,,null,,,,,En la fecha falta el día de colecta,,,,,2,Issis,1
3,158,C,"","","1997-07-01","",223,Maguey bacuela ,Agave,guiengola,AGAVACEAE,,,,,,,,,,,null,,,,,la fecha no trae día de colecta,,,,,2,Issis,1
4,131,C,"","","1800-01-01","",2,Orejano silvestre,"",sp.,VERBENACEAE,,,,,,,,,,,Plantas sin determinación de especie.,,,,,"No tiene fecha, genero, especie,municipio,sitio de colecta",,,,,1,Javier,1
5,159,C,"","","1997-07-01","",223,Maguey bacuela ,Agave,guiengola,AGAVACEAE,,,,,,,,,,,plantas ubicadas en la zona de las más secas de Oaxaca.,,,,,la fecha no trae día de colecta,,,,,2,Issis,1
6,160,C,"","","1997-07-01","",223,Maguey bacuela ,Agave,guiengola,AGAVACEAE,,,,,,,,,,,plantas ubicadas en la zona de las más secas de Oaxaca.,,,,,la fecha no trae día de colecta,,,,,2,Issis,1
7,162,C,,,"1997-07-01",,223,Maguey bacuela ,Agave,guiengola,AGAVACEAE,,,,,,,,,,,,,,,,la fecha no trae día de colecta,,,,,1,Javier,1
8,163,C,"","","1997-07-01","",223,Maguey bacuela ,Agave,guiengola,AGAVACEAE,,,,,,,,,,,plantas ubicadas en la zona de las más secas de Oaxaca.,,,,,la fecha no trae día de colecta,,,,,2,Issis,1
9,164,C, muerta 27/11/2002,"","1996-04-01","",6,Maguey espadin,Agave,angustifolia,AGAVACEAE,,,,,,,,,,,plantas ubicadas en la zona de las más secas de Oaxaca.,,,,,no trae día,,,,,1,Javier,1
10,165,C,registrada muerta  11/02/2008,"","1996-04-01","",6,Maguey espadin,Agave,angustifolia,AGAVACEAE,,,,,,,,,,,Plantas muertas según los reportes de la SEMARNAT.,,,,,no trae día,,,,,1,Javier,1
11,166,C,"","","1996-04-01","",451,Maguey de pasmo ,Agave,potatorum,AGAVACEAE,,,,,,,,,,,null,,,,,no trae día,,,,,1,Javier,1
12,167,C,"registrada muerta  16/06/2001, 25/06/2013","","1996-04-01","",451,Maguey de pasmo ,Agave,potatorum,AGAVACEAE,,,,,,,,,,,Plantas muertas según los reportes de la SEMARNAT.,,,,,no trae día,,,,,1,Javier,1
13,168,C,registrada muerta  16/06/2001,"","1996-04-01","",451,Maguey de pasmo ,Agave,potatorum,AGAVACEAE,,,,,,,,,,,null,,,,,"no trae día, ni cordenadas",,,,,1,Javier,1
14,169,C,registrada muerta 02/02/2002,"","1996-04-01","",10,Maguey  ,Agave,seemanniana,AGAVACEAE,,,,,,,,,,,Plantas muertas según los reportes de la SEMARNAT.,,,,,"no trae día, ni cordenadas",,,,,1,Javier,1
16,170,C,"","","1996-04-01","",11,Maguey ,Agave,angustiarum,AGAVACEAE,,,,,,,,,,,null,,,,,"no trae día, ni cordenadas",,,,,1,Javier,1
17,171,C,"","","1996-04-01","",11,Maguey ,Agave,angustiarum,AGAVACEAE,,,,,,,,,,,null,,,,,"no trae día, ni cordenadas",,,,,1,Javier,1
18,172,C,"","","1996-04-01","",11,Maguey ,Agave,angustiarum,AGAVACEAE,,,,,,,,,,,null,,,,,"",,,,,3,AndresServicio,1
19,173,C,"","","1996-04-01","",11,Maguey ,Agave,angustiarum,AGAVACEAE,,,,,,,,,,,plantas ubicadas en la zona de las más secas de Oaxaca.,,,,,no trae día,,,,,3,AndresServicio,1
20,174,C,"","","1996-04-01","",13,Huizaco,Hechtia,glomerata,BROMELIACEAE,,,,,,,,,,,null,,,,,no trae día,,,,,3,AndresServicio,1
21,175,C,"","","1996-04-01","",13,Huizaco,Hechtia,glomerata,BROMELIACEAE,,,,,,,,,,,null,,,,,no trae día,,,,,3,AndresServicio,1
22,176,C,"","","1996-04-01","",13,Huizaco,Hechtia,glomerata,BROMELIACEAE,,,,,,,,,,,null,,,,,no trae día,,,,,3,AndresServicio,1
23,177,C,"","","1996-04-01","",13,Huizaco,Hechtia,glomerata,BROMELIACEAE,,,,,,,,,,,null,,,,,no trae día,,,,,3,AndresServicio,1
24,178,C,"","","1996-04-01","",13,Huizaco,Hechtia,glomerata,BROMELIACEAE,,,,,,,,,,,Plantas muertas según los reportes de la SEMARNAT.,,,,,no trae día,,,,,3,AndresServicio,1
25,179,"","","","1996-04-01","",13,Huizaco,Hechtia,glomerata,BROMELIACEAE,,,,,,,,,,,null,,,,,no trae día,,,,,3,AndresServicio,1
26,180,C,"","","1996-04-01","",13,Huizaco,Hechtia,glomerata,BROMELIACEAE,,,,,,,,,,,null,,,,,no trae día,,,,,3,AndresServicio,1
27,181,C,"","","1996-04-01","",13,Huizaco,Hechtia,glomerata,BROMELIACEAE,,,,,,,,,,,null,,,,,no trae día,,,,,3,AndresServicio,1
28,182,C,"","","1996-04-01","",13,Huizaco,Hechtia,glomerata,BROMELIACEAE,,,,,,,,,,,null,,,,,no trae día,,,,,3,AndresServicio,1
29,183,C,"","","1996-04-01","",13,Huizaco,Hechtia,glomerata,BROMELIACEAE,,,,,,,,,,,null,,,,,no trae día,,,,,3,AndresServicio,1
30,184,C,"","","1996-04-01","",13,Huizaco,Hechtia,glomerata,BROMELIACEAE,,,,,,,,,,,null,,,,,no trae día,,,,,3,AndresServicio,1
31,185,C,"","","1996-04-01","",13,Huizaco,Hechtia,glomerata,BROMELIACEAE,,,,,,,,,,,null,,,,,no trae día,,,,,3,AndresServicio,1
32,186,C,"","","1996-04-01","",13,Huizaco,Hechtia,glomerata,BROMELIACEAE,,,,,,,,,,,null,,,,,no trae día,,,,,3,AndresServicio,1
33,188,C,"","","1996-04-01","",13,Huizaco,Hechtia,glomerata,BROMELIACEAE,,,,,,,,,,,null,,,,,no trae día,,,,,3,AndresServicio,1
34,189,C,"","","1996-04-01","",13,Huizaco,Hechtia,glomerata,BROMELIACEAE,,,,,,,,,,,null,,,,,no trae día,,,,,3,AndresServicio,1
35,214,C,null,"","1997-02-01","",14,Siempre viva,Echeveria,sp.,CRASSULACEAE,,,,,,,,,,,Plantas sin determinación de especie. ,,,,,no trae día,,,,,3,AndresServicio,1
36,215,C,"","","1997-02-01","",14,Siempre viva,Echeveria,sp.,CRASSULACEAE,,,,,,,,,,,Plantas sin determinación de especie.,,,,,no trae día,,,,,3,AndresServicio,1
