'cl_Colectas_IdColectas','cl_Altitud','cl_Latitud','cl_Longitud','cl_Procedencia','cl_Municipio','cl_Distritos','cl_Nombre_region','cl_Nombre_estado','cl_Provincia_fisografica','cl_Area_Protegida','cl_Iluminacion','cl_Topografia','cl_Exposicion','cl_Suelo','cl_clima_Zona','cl_Ph','cl_Temperatura','cl_Textura','cl_Color','cl_Pedregosidad','cl_Abundancia_Zona','cl_Vegetacion_Zona'
2,35,16.391666667,-95.386388889,'Mina de marmol, Cerro Guiengola','Santo Domingo Tehuantepec','Tehuantepec','Istmo','Oaxaca',,,,,,,,,,,,,,
3,35,16.391666667,-95.386388889,'Mina de marmol, Cerro Guiengola','Santo Domingo Tehuantepec','Tehuantepec','Istmo','Oaxaca',,,,,,,,,,,,,,
4,20,16.333333333,-95.233333333,'xxxxxx','sin_municipio','sin_distrito','sin_regiones','Oaxaca',,,,,,,,,,,,,,
5,35,16.391666667,-95.386388889,'Mina de marmol, Cerro Guiengola','Santo Domingo Tehuantepec','Tehuantepec','Istmo','Oaxaca',,,,,,,,,,,,,,
6,35,16.391666667,-95.386388889,'Mina de marmol, Cerro Guiengola','Santo Domingo Tehuantepec','Tehuantepec','Istmo','Oaxaca',,,,,,,,,,,,,,
7,35,16.391666667,-95.386388889,'Mina de marmol, Cerro Guiengola','Santo Domingo Tehuantepec','Tehuantepec','Istmo','Oaxaca',,,,,,,,,,,,,,
8,35,16.391666667,-95.386388889,'Mina de marmol, Cerro Guiengola','Santo Domingo Tehuantepec','Tehuantepec','Istmo','Oaxaca',,,,,,,,,,,,,,
9,0,0.0,0.0,'Salida de la población, rumbo ','Villa de tamazulapan','Teposcolula','Mixteca','Oaxaca',,,,,,,,,,,,,,
10,0,0.0,0.0,'Salida de la población, rumbo a México','Villa de tamazulapan','Teposcolula','Mixteca','Oaxaca',,,,,,,,,,,,,,
11,0,0.0,0.0,'Camino a San Miguel el Grande','Heroica Cd. de Tlaxiaco','Tlaxiaco','Mixteca','Oaxaca',,,,,,,,,,,,,,
12,0,0.0,0.0,'Camino a San Miguel el Grande','Heroica Cd. de Tlaxiaco','Tlaxiaco','Mixteca','Oaxaca',,,,,,,,,,,,,,
13,0,0.0,0.0,'Camino a San Miguel el Grande','Heroica Cd. de Tlaxiaco','Tlaxiaco','Mixteca','Oaxaca',,,,,,,,,,,,,,
14,0,0.0,0.0,'Camino a San Miguel el Grande','Heroica Cd. de Tlaxiaco','Tlaxiaco','Mixteca','Oaxaca',,,,,,,,,,,,,,
16,0,0.0,0.0,'salida de la población, rumbo a México','Villa de tamazulapan','Teposcolula','Mixteca','Oaxaca',,,,,,,,,,,,,,
17,0,0.0,0.0,'salida de la población, rumbo a México','Villa de tamazulapan','Teposcolula','Mixteca','Oaxaca',,,,,,,,,,,,,,
18,0,0.0,0.0,'salida de la población, rumbo a México','Villa de tamazulapan','Teposcolula','Mixteca','Oaxaca',,,,,,,,,,,,,,
19,0,0.0,0.0,'Salida de la población, rumbo ','Villa de tamazulapan','Teposcolula','Mixteca','Oaxaca',,,,,,,,,,,,,,
20,725,0.0,0.0,'Camino a San Pedro Jocotipac','San Juan Bautista Cuicatlán','Cuicatlán','Cañada','Oaxaca',,,,,,,,,,,,,,
21,725,0.0,0.0,'Camino a San Pedro Jocotipac','San Juan Bautista Cuicatlán','Cuicatlán','Cañada','Oaxaca',,,,,,,,,,,,,,
22,725,0.0,0.0,'Camino a San Pedro Jocotipac','San Juan Bautista Cuicatlán','Cuicatlán','Cañada','Oaxaca',,,,,,,,,,,,,,
23,725,0.0,0.0,'Camino a San Pedro Jocotipac','San Juan Bautista Cuicatlán','Cuicatlán','Cañada','Oaxaca',,,,,,,,,,,,,,
24,725,0.0,0.0,'Camino a San Pedro Jocotipac','San Juan Bautista Cuicatlán','Cuicatlán','Cañada','Oaxaca',,,,,,,,,,,,,,
25,0,0.0,0.0,'0','San Juan Bautista Cuicatlán','Cuicatlán','Cañada','Oaxaca',,,,,,,,,,,,,,
26,725,0.0,0.0,'Camino a San Pedro Jocotipac','San Juan Bautista Cuicatlán','Cuicatlán','Cañada','Oaxaca',,,,,,,,,,,,,,
27,725,0.0,0.0,'Camino a San Pedro Jocotipac','San Juan Bautista Cuicatlán','Cuicatlán','Cañada','Oaxaca',,,,,,,,,,,,,,
28,725,0.0,0.0,'Camino a San Pedro Jocotipac','San Juan Bautista Cuicatlán','Cuicatlán','Cañada','Oaxaca',,,,,,,,,,,,,,
29,725,0.0,0.0,'Camino a San Pedro Jocotipac','San Juan Bautista Cuicatlán','Cuicatlán','Cañada','Oaxaca',,,,,,,,,,,,,,
30,725,0.0,0.0,'Camino a San Pedro Jocotipac','San Juan Bautista Cuicatlán','Cuicatlán','Cañada','Oaxaca',,,,,,,,,,,,,,
31,725,0.0,0.0,'Camino a San Pedro Jocotipac','San Juan Bautista Cuicatlán','Cuicatlán','Cañada','Oaxaca',,,,,,,,,,,,,,
32,725,0.0,0.0,'Camino a San Pedro Jocotipac','San Juan Bautista Cuicatlán','Cuicatlán','Cañada','Oaxaca',,,,,,,,,,,,,,
33,725,0.0,0.0,'Camino a San Pedro Jocotipac','San Juan Bautista Cuicatlán','Cuicatlán','Cañada','Oaxaca',,,,,,,,,,,,,,
34,726,0.0,0.0,'Camino a San Pedro Jocotipac','San Juan Bautista Cuicatlán','Cuicatlán','Cañada','Oaxaca',,,,,,,,,,,,,,
35,0,0.0,0.0,,'Santos Reyes Nopala','Juquila','Costa','Oaxaca',,,,,,,,,,,,,,
36,0,0.0,0.0,,'Santos Reyes Nopala','Juquila','Costa','Oaxaca',,,,,,,,,,,,,,
37,0,0.0,0.0,,'Santos Reyes Nopala','Juquila','Costa','Oaxaca',,,,,,,,,,,,,,
38,0,0.0,0.0,,'Santos Reyes Nopala','Juquila','Costa','Oaxaca',,,,,,,,,,,,,,
46,0,0.0,0.0,'0','sin_municipio','sin_distrito','sin_regiones','Oaxaca',,,,,,,,,,,,,,
47,0,0.0,0.0,,'sin_municipio','sin_distrito','sin_regiones','Oaxaca',,,,,,,,,,,,,,
51,0,0.0,0.0,'0','Santos Reyes Nopala','Juquila','Costa','Oaxaca',,,,,,,,,,,,,,
52,0,0.0,0.0,,'Santos Reyes Nopala','Juquila','Costa','Oaxaca',,,,,,,,,,,,,,
