'cl_Colectas_copy1_IdColectas','cl_Personas_Recolectar','cl_Fecha_Inicio','cl_Fecha_Corte','cl_Fecha_Tratamiento','cl_Fecha_Embalaje','cl_Fecha_Extraccion','cl_Tipo_Extraccion','cl_Fecha_Carga_Envio','cl_Tipo_vehiculo','cl_Fecha_Llegada','cl_Fecha_Descarga','cl_Observaciones','cl_Nombre_Responsable_Tecnico','cl_Nombre_Responsable_operativo'
7,,,,,,,,,,,,,,
622,,,,,,,,,,,,,,
845,,,,,,,,,,,,,,
846,,,,,,,,,,,,,,
847,,,,,,,,,,,,,,
1194,,,,,,,,,,,,,,
1211,,,,,,,,,,,,,,
1244,,,,,,,,,,,,,,
1353,,,,,,,,,,,,,,
1363,,,,,,,,,,,,,,
2150,,,,,,,,,,,,,,
2151,,,,,,,,,,,,,,
2154,,,,,,,,,,,,,,
2162,,,,,,,,,,,,,,
2163,,,,,,,,,,,,,,
2183,,,,,,,,,,,,,,
2184,,,,,,,,,,,,,,
2185,,,,,,,,,,,,,,
2186,,,,,,,,,,,,,,
2187,,,,,,,,,,,,,,
2390,,,,,,,,,,,,,,
2503,,,,,,,,,,,,,,
2511,,,,,,,,,,,,,,
2817,,,,,,,,,,,,,,
2834,,,,,,,,,,,,,,
2835,,,,,,,,,,,,,,
2836,,,,,,,,,,,,,,
2837,,,,,,,,,,,,,,
2838,,,,,,,,,,,,,,
2839,,,,,,,,,,,,,,
2840,,,,,,,,,,,,,,
2841,,,,,,,,,,,,,,
2842,,,,,,,,,,,,,,
2843,,,,,,,,,,,,,,
2895,,,,,,,,,,,,,,
4316,,,,,,,,,,,,,,
4317,,,,,,,,,,,,,,
4318,,,,,,,,,,,,,,
4479,,,,,,,,,,,,,,
4582,,,,,,,,,,,,,,
4734,,,,,,,,,,,,,,
4775,,,,,,,,,,,,,,
5340,,,,,,,,,,,,'ejemplo','otras persona de ejemplo ','GEOBANY GUERRA'
5341,2,,,,'2021-07-08','2021-07-08','Manual','2021-07-08','Camioneta','2021-07-10','2021-07-10','Ninguna','Geovanni Mtz','Issis Moreno'
5342,,,,,,'2021-07-08','Manual','2021-07-08','Camioneta','2021-07-10','2021-07-10','Ninguna','Geovanni Mtz','Issis Moreno'
5343,3,,,,'2021-07-08','2021-07-08','Manual','2021-07-08','Camioneta','2021-07-10','2021-07-10',,'Geovanni Mtz','Vianney Hdz'
5344,2,,,,'2021-02-08','2021-07-08','Manual','2021-07-08','Camioneta','2021-07-10','2021-07-10',,'Geovanni Mtz','Issis Moreno'
5345,2,,,,'2021-07-08','2021-07-08','Manual','2021-07-08','Camioneta','2021-07-10','2021-07-10',,'Geovanni Mtz','Vianney Hdz'
5346,1,,,,'2021-07-08','2021-07-08','Manual','2021-07-08','Camioneta','2021-07-10','2021-07-10',,'Geovanni Mtz','Vianney Hdz'
5347,2,,,,'2021-07-08','2021-07-08','Manual','2021-07-08','Camioneta','2021-07-10','2021-07-10',,'Geovanni Mtz','Issis Moreno'
5348,2,,,,'2021-07-08','2021-07-08','Manual','2021-07-08','Camioneta','2021-07-10','2021-07-10','La raíz estaba dentro de rocas','Geovanni Mtz','Vianney Hdz'
5349,2,,,,'2021-07-08','2021-07-08','Manual','2021-07-08','Camioneta','2021-07-10','2021-07-10',,'Geovanni Mtz','Issis Moreno'
5350,4,,,,'2021-07-08','2021-07-08','Manual','2021-07-08','Camioneta','2021-07-10','2021-07-10',,'Geovanni Mtz','Vianney Hdz'
5352,2,,,,'2021-08-07','2021-07-08','Manual','2021-07-08','Camioneta','2021-07-10','2021-07-10',,'Geovanni Mtz','Issis Moreno'
5353,1,,,,'2021-07-08','2021-07-08','Manual','2021-07-08','Camioneta','2021-07-10','2021-07-10',,'Geovanni Mtz','Vianney Hdz'
5354,2,,,,'2021-08-04','2021-08-04','Manual','2021-08-04','Camioneta 3/4 Mitsubishi','2021-08-07','2021-08-07',,'Geovanni Mtz',
5355,2,,,,'2021-08-04','2021-08-04','Manual','2021-08-04','Camioneta','2021-08-07','2021-08-07',,'Geovanni Mtz',
5356,2,,,,'2021-08-04','2021-08-04','Manual','2021-08-04','Camioneta','2021-08-07','2021-08-07',,'Geovanni Mtz',
5357,1,,,,'2021-08-04','2021-08-04','Manual','2021-08-04','Camioneta','2021-08-07','2021-08-07',,'Geovanni Mtz',
5358,2,,,,'2021-08-05','2021-08-05','Manual','2021-08-05','Camioneta 3/4','2021-08-07','2021-08-07',,'Geovanni Mtz',
5359,2,,,,'2021-08-05','2021-08-05','Manual','2021-08-05','Camioneta 3/4','2021-08-07','2021-08-07',,'Geovanni Mtz',
5360,2,,,,'2021-08-05','2021-08-05','Manual','2021-08-05','Camioneta','2021-08-07','2021-08-07',,'Geovanni Mtz',
5361,2,,,,'2021-08-05','2021-08-05','Manual','2021-08-05','Camioneta 3/4','2021-08-07','2021-08-07',,'Geovanni Mtz',
5362,2,,,,'2021-08-20','2021-08-20','Manual','2021-08-20','Camioneta 3/4','2021-08-21','2021-08-21',,'Geovanni Mtz',
5364,2,,,,'2021-08-20','2021-08-20','Manual','2021-08-20','Camioneta 3 ton','2021-08-21','2021-08-21',,'Geovanni Mtz',
5365,1,,,,'2021-08-20','2021-08-20','Manual','2021-08-20','Camioneta 3 ton','2021-08-21','2021-08-21',,'Geovanni Mtz',
5366,1,,,,'2021-08-20','2021-08-20','Manual','2021-08-20','Camioneta 3/4','2021-08-21','2021-08-21',,'Geovanni Mtz',
5367,1,,,,'2021-11-05','2021-11-05','Manual','2021-11-05','Camioneta','2021-11-06','2021-11-06',,'Geovanni Mtz',
5368,2,,,,'2021-11-05','2021-11-05','Manual','2021-11-05','Camioneta 3 ton','2021-11-06','2021-11-06',,'Geovanni Mtz',
5369,2,,,,'2021-11-05','2021-11-05','Manual','2021-11-05','Camioneta 3 ton','2021-11-06','2021-11-06',,'Geovanni Mtz',
5370,2,,,,'2021-11-05','2021-11-05','Manual','2021-11-05','Camioneta 3 ton','2021-11-06','2021-11-06',,'Geovanni Mtz',
5371,2,,,,'2021-11-05','2021-11-05','Manual','2021-11-05','Camioneta 3 ton','2021-11-06','2021-11-06',,'Geovanni Mtz',
5372,3,,,,'2021-11-05','2021-11-05','Manual','2021-11-05','Camioneta 3 ton','2021-11-06','2021-11-06',,'Geovanni Mtz',
5373,2,,,,'2021-11-05','2021-11-05','Manual','2021-11-05','Camioneta 3 ton','2021-11-06','2021-11-06',,'Geovanni Mtz',
5374,2,,,,'2021-11-05','2021-11-05','Manual','2021-11-05','Camioneta 3 ton','2021-11-06','2021-11-06',,'Geovanni Mtz',
5375,2,,,,'2021-11-05','2021-11-05','Manual','2021-11-05','Camioneta 3 ton','2021-11-06','2021-11-06',,'Geovanni Mtz',
5376,1,,,,'2021-11-05','2021-11-05','Manual','2021-11-05','Camioneta 3 ton','2021-11-06','2021-11-06',,'Geovanni Mtz',
5377,2,,,,'2021-11-05','2021-11-05','Manual','2021-11-05','Camioneta 3 ton','2021-11-06','2021-11-06',,'Geovanni Mtz',
5378,2,,,,'2021-11-05','2021-11-05','Manual','2021-11-05','Camioneta 3 ton','2021-11-06','2021-11-06','Planta viene acompañada de piedra','Geovanni Mtz',
